日期,时间,FEE+5V电流,时间码:秒,时间码:毫秒,上一指令类型-FEE工作状态,采集配置参数,接收指令计数,错误指令计数,科学数据包计数,电荷芯片1工作电流,电荷芯片2工作电流,电荷芯片3工作电流,电荷芯片1限流参数,电荷芯片2限流参数,电荷芯片3限流参数,光电管温度遥测1,光电管温度遥测2,光电管温度遥测3,光电管温度遥测4,光电管温度遥测5,光电管温度遥测6,光电管温度遥测7,光电管温度遥测8,光电管温度遥测9,FEE温度1,FEE温度2,FEE温度3,FEE温度4,Cebr采集延迟,中子首脉冲延迟,中子次脉冲延时1,中子次脉冲延迟2,双脉冲参数0,双脉冲参数1,双脉冲参数2,双脉冲参数3,伽马通道选择,中子通道使能1,中子通道使能2,错误状态,科学数据时间-伽马符合窗,多触发使能-各通道逐事例使能,分组标志-包序列计数,全零
2024年09月11日,09:15:16,0,F320,297,25_0,0,251,0,573,64,71,66,0,0,0,26.981459,-58.927081,-57.471579,-57.705201,-57.587969,-57.705201,-58.062094,-51.652977,-50.381820,29.166914,25.316496,25.821471,25.885039,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12909,0_0_0,
2024年09月11日,09:15:17,0,F321,295,25_0,0,252,0,573,64,71,66,0,0,0,27.014170,-58.550623,-57.705201,-57.587969,-57.823290,-57.587969,-58.182837,-51.652977,-50.381820,29.132335,25.316496,25.980580,25.853242,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12910,0_0_0,
2024年09月11日,09:15:18,0,F322,296,25_0,0,253,0,573,64,71,66,0,0,0,27.046907,-58.550623,-57.705201,-57.705201,-57.705201,-57.587969,-58.304497,-51.735495,-50.381820,29.201524,25.316496,26.076349,25.821471,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12911,0_0_0,
2024年09月11日,09:15:19,0,F323,296,25_0,0,254,0,573,64,71,66,0,0,0,26.981459,-58.675123,-57.587969,-57.587969,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.166914,25.285143,26.300705,25.885039,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12912,0_0_0,
2024年09月11日,09:15:20,0,F324,296,25_0,0,255,0,573,64,71,67,0,0,0,26.981459,-58.550623,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.201524,25.316496,26.365038,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12913,0_0_0,
2024年09月11日,09:15:21,0,F325,295,25_0,0,0,0,573,64,71,66,0,0,0,26.883489,-58.927081,-57.705201,-57.705201,-57.705201,-57.587969,-58.182837,-51.652977,-50.305261,29.201524,25.316496,26.461734,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12914,0_0_0,
2024年09月11日,09:15:22,0,F326,296,25_0,0,1,0,573,64,71,66,0,0,0,26.850887,-58.675123,-57.587969,-57.587969,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.236165,25.285143,26.720744,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12915,0_0_0,
2024年09月11日,09:15:23,0,F327,296,25_0,0,2,0,573,64,71,66,0,0,0,26.916119,-58.800603,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.305261,29.270838,25.285143,26.753240,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12916,0_0_0,
2024年09月11日,09:15:24,0,F328,295,25_0,0,3,0,573,64,71,66,0,0,0,26.818311,-58.800603,-57.587969,-57.823290,-57.705201,-57.705201,-58.182837,-51.735495,-50.305261,29.201524,25.285143,26.623417,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12917,0_0_0,
2024年09月11日,09:15:25,0,F329,296,25_0,0,4,0,573,64,71,66,0,0,0,26.850887,-58.800603,-57.705201,-57.823290,-57.705201,-57.823290,-58.182837,-51.818398,-50.381820,29.236165,25.316496,26.494018,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12918,0_0_0,
2024年09月11日,09:15:26,0,F32A,296,25_0,0,5,0,573,64,71,66,0,0,0,26.883489,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.270838,25.316496,26.397244,25.916861,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12919,0_0_0,
2024年09月11日,09:15:27,0,F32B,296,25_0,0,6,0,573,64,71,66,0,0,0,26.883489,-58.675123,-57.705201,-57.705201,-57.705201,-57.587969,-58.182837,-51.652977,-50.381820,29.270838,25.316496,26.268577,25.821471,15,40,6,14,36,498,1998,2558,9E,FF,FF,0_0,0_b,1_1ff,3_12920,0_0_0,
